County,Year,Income,Population
Mineral County,2004,39725,939
Archuleta County,2004,40592,11374
Montrose County,2004,40234,36192
Hinsdale County,2004,38891,809
Garfield County,2004,50119,47881
Cheyenne County,2004,36563,1932
Douglas County,2004,94658,234810
Gunnison County,2004,38979,14315
Park County,2004,52684,16420
Rio Blanco County,2004,43501,5918
Otero County,2004,30298,19389
El Paso County,2004,50312,558680
Dolores County,2004,32357,1797
Crowley County,2004,24435,5920
Larimer County,2004,50911,271830
Montezuma County,2004,34416,24429
Sedgwick County,2004,27824,2512
Broomfield County,2004,65375,46591
Jackson County,2004,33476,1463
Clear Creek County,2004,58677,9048
Fremont County,2004,35129,46858
Eagle County,2004,59037,46317
Prowers County,2004,29647,13784
Rio Grande County,2004,34680,12193
Chaffee County,2004,37226,16725
Grand County,2004,49907,13186
Conejos County,2004,27077,8235
Teller County,2004,53787,21130
Washington County,2004,32344,4777
Adams County,2004,50229,386663
Elbert County,2004,69631,22139
La Plata County,2004,44078,46905
Weld County,2004,46241,217706
San Juan County,2004,32057,580
Denver County,2004,41767,558506
Logan County,2004,34691,21122
Moffat County,2004,46102,13335
Kiowa County,2004,28851,1394
Gilpin County,2004,54194,4861
Bent County,2004,27569,6195
Alamosa County,2005,32642,15317
Rio Blanco County,2005,44709,5832
Adams County,2005,50798,397463
Costilla County,2005,21920,3370
San Miguel County,2005,50324,7193
Elbert County,2005,69074,22374
Prowers County,2005,31042,13684
Denver County,2005,42576,561323
Teller County,2005,56557,21282
Archuleta County,2005,41860,11623
Logan County,2005,36134,20849
Moffat County,2005,46983,13122
Lake County,2005,38960,7653
Las Animas County,2005,32246,15608
Morgan County,2005,35805,27567
Yuma County,2005,37089,9613
Summit County,2005,56275,25287
Dolores County,2005,35384,1803
Clear Creek County,2005,61937,9011
Montezuma County,2005,35329,24468
Kit Carson County,2005,35157,8010
Washington County,2005,39779,4718
Fremont County,2005,36403,46930
San Juan County,2005,33462,565
Delta County,2005,35358,29491
Montrose County,2005,38911,37069
Mineral County,2005,40134,923
Routt County,2005,58482,21282
Ouray County,2005,48855,4160
Grand County,2005,51043,13114
Gunnison County,2005,40436,14403
Gilpin County,2005,56911,4939
Garfield County,2005,52189,49177
Mesa County,2005,39750,129457
Arapahoe County,2005,55159,525293
Baca County,2005,28804,3979
Hinsdale County,2005,42012,792
Jefferson County,2005,60996,522007
Rio Grande County,2005,34215,12043
Cheyenne County,2005,39252,1875
Crowley County,2005,27107,5939
Bent County,2005,30166,6169
Douglas County,2005,90143,246058
Phillips County,2005,34664,4524
Broomfield County,2005,67067,48490
El Paso County,2005,50878,567103
Otero County,2005,32866,19184
Boulder County,2005,58334,286545
Larimer County,2005,49188,275477
Custer County,2005,40946,3879
Lincoln County,2005,34960,5471
Huerfano County,2005,28334,7763
Jackson County,2005,34281,1422
Sedgwick County,2005,29871,2471
La Plata County,2005,46881,47792
Saguache County,2005,26081,6822
Weld County,2005,48338,225856
Pueblo County,2005,37129,149677
Chaffee County,2005,40120,16710
Kiowa County,2005,31289,1385
Park County,2005,55589,16560
Pitkin County,2005,57615,14905
Conejos County,2005,28010,8190
Eagle County,2005,63848,47719
Cheyenne County,2006,37794,1833
Rio Blanco County,2006,47150,6033
Phillips County,2006,36380,4482
Chaffee County,2006,39263,16626
Sedgwick County,2006,30763,2416
Otero County,2006,33310,18967
Park County,2006,60208,16656
Weld County,2006,52037,234387
Eagle County,2006,65923,49112
Broomfield County,2006,71714,51454
San Juan County,2006,34987,574
Summit County,2006,60332,25745
Las Animas County,2006,35008,15725
Delta County,2006,37343,29899
Washington County,2006,34115,4666
